Compound,CAS,MW,MW_Reference,Expocast,ExpoCast_Reference,Fub,Fub_Reference,Clint,Clint_Reference,pKa_Acceptor,pKa_Acceptor_Reference,pKa_Donor,pKa_Donor_Reference,logKoa,logKoa_Reference,CNS,CNS_Reference,Neutral_Form,Neutral_Form_Reference
2-Phenylmercaptoethanol,699-12-7,154.23,U.S. EPA CompTox Dashboard,1.43E-07,Wambaugh 2014,0.17,OPERA (0.62),40.78,OPERA (0.65),None,Sipes 2017,None,Sipes 2017,1.91,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Tiadenol [INN:DCF],6964-20-1,294.51,U.S. EPA CompTox Dashboard,4.25E-07,U.S. EPA CompTox Dashboard,0.13,OPERA (0.5),15.63,OPERA (0.45),8.6,ACD/Labs GALAS,14.28,ACD/Labs GALAS,3.63,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,2'-Thiobisethanol",111-48-8,122.18,U.S. EPA CompTox Dashboard,3.86E-08,Wambaugh 2014,0.85,OPERA (0.62),0,OPERA (0.73),None,Sipes 2017,None,Sipes 2017,-0.71,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"2,2'-(Methanediyldisulfanediyl)diethanol",44860-68-6,168.27,U.S. EPA CompTox Dashboard,1.97E-07,Wambaugh 2014,0.62,OPERA (0.39),5.97,OPERA (0.48),None,Sipes 2017,None,Sipes 2017,0.31,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
S-Nitrosomercaptoethanol,67616-44-8,107.13,U.S. EPA CompTox Dashboard,1.47E-06,U.S. EPA CompTox Dashboard,0.8,OPERA (0.54),27.03,OPERA (0.3),8.2,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.2,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2-Hydroxyethyl disulfide,1892-29-1,154.24,U.S. EPA CompTox Dashboard,1.09E-07,Wambaugh 2014,0.75,OPERA (0.35),6.05,OPERA (0.45),None,Sipes 2017,None,Sipes 2017,0.52,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Fluoromethanol,420-03-1,50.032,U.S. EPA CompTox Dashboard,7.23E-07,U.S. EPA CompTox Dashboard,0.81,OPERA (0.55),2.87,OPERA (0.51),8.2,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.66,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Indole-2,3-dione, 1-(hydroxymethyl)-",50899-59-7,177.159,U.S. EPA CompTox Dashboard,1.75E-06,U.S. EPA CompTox Dashboard,0.3,OPERA (0.55),2.65,OPERA (0.59),8.37,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.13,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
N-(Hydroxymethyl)phthalimide,118-29-6,177.159,U.S. EPA CompTox Dashboard,1.33E-07,Wambaugh 2014,0.42,OPERA (0.55),0,OPERA (0.57),None,Sipes 2017,None,Sipes 2017,0.71,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
N-Hydroxymethyltetrahydrophthalimide,4887-42-7,181.191,U.S. EPA CompTox Dashboard,1.28E-06,U.S. EPA CompTox Dashboard,0.55,OPERA (0.59),0,OPERA (0.46),8.4,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.62,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
N-Hydroxymethylsuccinimide,5146-68-9,129.115,U.S. EPA CompTox Dashboard,1.03E-07,Wambaugh 2014,0.94,OPERA (0.71),0,OPERA (0.4),None,Sipes 2017,None,Sipes 2017,-1.11,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Imidazolidinyl urea,39236-46-9,388.297,U.S. EPA CompTox Dashboard,3.273E-05,Wambaugh 2014,0.96,OPERA (0.66),0,OPERA (0.64),None,Sipes 2017, 11.25; 11.11; 10.88; 10.49;  8.68;  7.98,Sipes 2017,-4.9,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0.45,ACD/Labs GALAS
Dimethyloldihydroxyethyleneurea,1854-26-8,178.144,U.S. EPA CompTox Dashboard,1.28E-05,U.S. EPA CompTox Dashboard,0.94,OPERA (0.61),0,OPERA (0.51),8.74,ACD/Labs GALAS,14.86,ACD/Labs GALAS,-1.39,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
Pyrrolidinemethanol,220208-47-9,101.149,U.S. EPA CompTox Dashboard,2.59E-06,U.S. EPA CompTox Dashboard,0.82,OPERA (0.6),0,OPERA (0.8),9.78,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.28,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0.01,ACD/Labs GALAS
N-Methylolacrylamide,924-42-5,101.105,U.S. EPA CompTox Dashboard,5.28E-05,U.S. EPA CompTox Dashboard,0.9,OPERA (0.62),7.3,OPERA (0.29),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.9,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2-Chloro-N-(hydroxymethyl)acetamide,2832-19-1,123.54,U.S. EPA CompTox Dashboard,1.59E-08,Wambaugh 2014,0.84,OPERA (0.6),0,OPERA (0.69),None,Sipes 2017,None,Sipes 2017,-1.32,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,1,ACD/Labs GALAS
Diazolidinyl urea,78491-02-8,278.221,U.S. EPA CompTox Dashboard,2.76E-07,Wambaugh 2014,0.97,OPERA (0.69),0,OPERA (0.43),None,Sipes 2017,10.86,Sipes 2017,-3.69,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
"1,3-Dimethylolurea",140-95-4,120.108,U.S. EPA CompTox Dashboard,2.02E-07,Wambaugh 2014,0.88,OPERA (0.56),0,OPERA (0.47),None,Sipes 2017, 12.21; 11.80,Sipes 2017,-2.61,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
"Formamide, N-(hydroxymethyl)-",13052-19-2,75.067,U.S. EPA CompTox Dashboard,9.77E-07,U.S. EPA CompTox Dashboard,0.87,OPERA (0.58),0,OPERA (0.71),#NV,ACD/Labs GALAS,4.1,ACD/Labs GALAS,-1.39,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,1,ACD/Labs GALAS
"1,3,5-Triazine-2,4,6-triyltriiminotrimethanol",1017-56-7,216.201,U.S. EPA CompTox Dashboard,8.05E-07,U.S. EPA CompTox Dashboard,0.83,OPERA (0.5),0,OPERA (0.65),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-3.95,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
Methylene glycol,463-57-0,48.041,U.S. EPA CompTox Dashboard,3.4E-07,U.S. EPA CompTox Dashboard,0.95,OPERA (0.7),1.7,OPERA (0.48),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-1.53,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,1,ACD/Labs GALAS
Phenoxymethanol,13138-67-5,124.139,U.S. EPA CompTox Dashboard,6.18E-06,U.S. EPA CompTox Dashboard,0.4,OPERA (0.68),12.52,OPERA (0.54),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.98,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"1,2-Bis[hydroxymethoxy]ethane",3586-55-8,122.12,U.S. EPA CompTox Dashboard,2.31E-07,U.S. EPA CompTox Dashboard,0.9,OPERA (0.62),11.29,OPERA (0.18),5.1,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-1.43,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,1,ACD/Labs GALAS
"Methanol, hydroperoxy-",15932-89-5,64.04,U.S. EPA CompTox Dashboard,6.97E-07,U.S. EPA CompTox Dashboard,0.88,OPERA (0.6),0,OPERA (0.69),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.62,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Methanol, phosphinidynetris-",2767-80-8,124.076,U.S. EPA CompTox Dashboard,2.88E-07,U.S. EPA CompTox Dashboard,0.83,OPERA (0.38),0,OPERA (0.43),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.89,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,1,ACD/Labs GALAS
Sulfanylmethanol,22322-29-8,64.1,U.S. EPA CompTox Dashboard,1.57E-06,U.S. EPA CompTox Dashboard,0.85,OPERA (0.64),1.58,OPERA (0.55),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.12,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.89,ACD/Labs GALAS
"Benzenamine, N-hydroxy-N-phenyl-",1079-64-7,185.226,U.S. EPA CompTox Dashboard,1.27E-06,U.S. EPA CompTox Dashboard,0.08,OPERA (0.68),13.36,OPERA (0.58),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.99,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.86,ACD/Labs GALAS
Hadacidin,689-13-4,119.076,U.S. EPA CompTox Dashboard,3.1E-07,U.S. EPA CompTox Dashboard,0.9,OPERA (0.57),0,OPERA (0.45),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-1.13,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
N-Benzyl-N-hydroxy-1-phenylmethanamine,621-07-8,213.28,U.S. EPA CompTox Dashboard,2.3E-07,Wambaugh 2014,0.17,OPERA (0.66),27.09,OPERA (0.54),3.27,Sipes 2017,12.96,Sipes 2017,2.45,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Fosmidomycin,66508-53-0,183.1,U.S. EPA CompTox Dashboard,2.13E-07,U.S. EPA CompTox Dashboard,0.93,OPERA (0.61),5.1,OPERA (0.47),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-2.47,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Hydroxy-2-oxo-1-phenylhydrazine,148-97-0,138.126,U.S. EPA CompTox Dashboard,1.9E-06,U.S. EPA CompTox Dashboard,0.36,OPERA (0.49),0,OPERA (0.63),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.18,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"Formaldehyde, oxime",75-17-2,45.041,U.S. EPA CompTox Dashboard,1.03E-06,U.S. EPA CompTox Dashboard,0.89,OPERA (0.54),1.55,OPERA (0.59),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.82,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Diphenylethanedione dioxime,23873-81-6,240.262,U.S. EPA CompTox Dashboard,1.64E-06,U.S. EPA CompTox Dashboard,0.11,OPERA (0.67),44.73,OPERA (0.68),#NV,ACD/Labs GALAS,11.2,ACD/Labs GALAS,3.49,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Di-2-furylethanedione dioxime,522-27-0,220.184,U.S. EPA CompTox Dashboard,1.12E-06,U.S. EPA CompTox Dashboard,0.33,OPERA (0.56),0,OPERA (0.7),7.1,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.08,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
p-Benzoquinone dioxime,105-11-3,138.126,U.S. EPA CompTox Dashboard,2.26E-07,Wambaugh 2014,0.62,OPERA (0.53),23.86,OPERA (0.64), -2.08; -3.77,Sipes 2017,  9.26;  8.42,Sipes 2017,1.57,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Cyclopentanone oxime,1192-28-5,99.133,U.S. EPA CompTox Dashboard,7.1E-08,Wambaugh 2014,0.84,OPERA (0.68),8.18,OPERA (0.41),-0.52,Sipes 2017,12.29,Sipes 2017,0.56,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Cyclohexanone oxime,100-64-1,113.16,U.S. EPA CompTox Dashboard,1.09E-07,Wambaugh 2014,0.69,OPERA (0.5),11.72,OPERA (0.48),-0.4,Sipes 2017,12.35,Sipes 2017,1.12,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Glyoxime,557-30-2,88.066,U.S. EPA CompTox Dashboard,2.6E-08,Wambaugh 2014,0.94,OPERA (0.6),9.96,OPERA (0.41), -0.69; -3.07,Sipes 2017, 10.60;  9.29,Sipes 2017,0.25,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.98,ACD/Labs GALAS
Salicylaldehyde oxime,94-67-7,137.138,U.S. EPA CompTox Dashboard,4.74E-06,U.S. EPA CompTox Dashboard,0.48,OPERA (0.55),39.61,OPERA (0.6),6.5,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.55,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.98,ACD/Labs GALAS
1-hydroxy-3H-indol-2-one,18108-55-9,149.149,U.S. EPA CompTox Dashboard,3.93E-07,U.S. EPA CompTox Dashboard,0.51,OPERA (0.47),8.38,OPERA (0.5),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.51,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.89,ACD/Labs GALAS
"2,5-Pyrrolidinedione, 1-hydroxy-",6066-82-6,115.088,U.S. EPA CompTox Dashboard,1.16E-06,U.S. EPA CompTox Dashboard,0.94,OPERA (0.66),0,OPERA (0.68),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-2,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0.67,ACD/Labs GALAS
"2H-1,4-Benzoxazin-3(4H)-one, 4-hydroxy-",771-26-6,165.148,U.S. EPA CompTox Dashboard,1.79E-07,U.S. EPA CompTox Dashboard,0.45,OPERA (0.49),0,OPERA (0.63),#NV,ACD/Labs GALAS,13.9,ACD/Labs GALAS,-0.1,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0.88,ACD/Labs GALAS
roflumilast N-oxide,292135-78-5,419.21,U.S. EPA CompTox Dashboard,1.83E-07,U.S. EPA CompTox Dashboard,0.22,OPERA (0.38),47.9,OPERA (0.3),15.41,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.16,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,1,ACD/Labs GALAS
Hydroxypyridinone,822-89-9,111.1,U.S. EPA CompTox Dashboard,4.95E-07,U.S. EPA CompTox Dashboard,0.77,OPERA (0.5),0,OPERA (0.63),8.22,ACD/Labs GALAS,3.1,ACD/Labs GALAS,-0.77,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0.04,ACD/Labs GALAS
Pyrithione,1121-30-8,127.16,U.S. EPA CompTox Dashboard,2.09E-07,U.S. EPA CompTox Dashboard,0.75,OPERA (0.58),0,OPERA (0.43),14.46,ACD/Labs GALAS,2.6,ACD/Labs GALAS,-0.13,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Hydroxyfluromidine,35195-95-0,237.57,U.S. EPA CompTox Dashboard,1.77E-07,U.S. EPA CompTox Dashboard,0.78,OPERA (0.55),51.89,OPERA (0.4),10.1,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.54,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Hydroxypyrrolidine-3-carboxylic acid,212716-34-2,131.131,U.S. EPA CompTox Dashboard,2.25E-07,U.S. EPA CompTox Dashboard,0.79,OPERA (0.38),0,OPERA (0.5),#NV,ACD/Labs GALAS,2.8,ACD/Labs GALAS,-1.12,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Hydroxypyrrolidine,5904-62-1,87.122,U.S. EPA CompTox Dashboard,2.99E-06,U.S. EPA CompTox Dashboard,0.93,OPERA (0.75),0.45,OPERA (0.56),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.33,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.99,ACD/Labs GALAS
1-Hydroxypyrrolidin-2-one,111548-36-8,101.105,U.S. EPA CompTox Dashboard,1.36E-06,U.S. EPA CompTox Dashboard,0.92,OPERA (0.67),0,OPERA (0.66),8.2,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.91,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.94,ACD/Labs GALAS
"L-Proline, 1-hydroxy-",36901-87-8,131.131,U.S. EPA CompTox Dashboard,2.53E-07,U.S. EPA CompTox Dashboard,0.77,OPERA (0.39),0,OPERA (0.45),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-1.2,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0.02,ACD/Labs GALAS
"Piperidine, 1-hydroxy-",4801-58-5,101.149,U.S. EPA CompTox Dashboard,1.05E-06,U.S. EPA CompTox Dashboard,0.85,OPERA (0.71),23.63,OPERA (0.4),3.1,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.23,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.99,ACD/Labs GALAS
1-Hydroxybenzotriazole,2592-95-2,135.126,U.S. EPA CompTox Dashboard,2.61E-08,Wambaugh 2014,0.4,OPERA (0.64),0,OPERA (0.61), -0.13; -4.52,Sipes 2017,5.25,Sipes 2017,0.43,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Hydroxycyanamide,114045-21-5,58.04,U.S. EPA CompTox Dashboard,4.35E-07,U.S. EPA CompTox Dashboard,0.86,OPERA (0.52),0,OPERA (0.64),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.68,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
CP-544439,230954-09-3,410.42,U.S. EPA CompTox Dashboard,2.79E-07,Wambaugh 2014,0.1574,Wambaugh 2019,2.368666667,Wambaugh 2019,None,Sipes 2017,"8.67,10.33",Wambaugh 2019,2.42,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.95,ACD/Labs GALAS
Salicylhydroxamic acid,89-73-6,153.137,U.S. EPA CompTox Dashboard,1.84E-07,U.S. EPA CompTox Dashboard,0.48,OPERA (0.6),0,OPERA (0.7),-0.13,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.7,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0.49,ACD/Labs GALAS
"3,4-Dihydroxybenzohydroxamic acid",69839-83-4,169.136,U.S. EPA CompTox Dashboard,1.66E-07,U.S. EPA CompTox Dashboard,0.48,OPERA (0.61),0.49,OPERA (0.6),6.6,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.32,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0.86,ACD/Labs GALAS
4-Chlorobenzenehydroxamic acid,1613-88-3,171.58,U.S. EPA CompTox Dashboard,1.57E-07,U.S. EPA CompTox Dashboard,0.37,OPERA (0.5),1.21,OPERA (0.68),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.02,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.88,ACD/Labs GALAS
N-Hydroxybenzamide,495-18-1,137.138,U.S. EPA CompTox Dashboard,9.6E-08,Wambaugh 2014,0.44,OPERA (0.58),2.04,OPERA (0.64),None,Sipes 2017,  9.52;  8.98,Sipes 2017,0.44,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.98,ACD/Labs GALAS
NS309,18711-16-5,231.03,U.S. EPA CompTox Dashboard,2.03E-07,U.S. EPA CompTox Dashboard,0.42,OPERA (0.33),4.86,OPERA (0.58),6.72,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.6,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,1,ACD/Labs GALAS
4-Hydroxyaminoquinoline-1-oxide,4637-56-3,176.175,U.S. EPA CompTox Dashboard,1.49E-07,U.S. EPA CompTox Dashboard,0.42,OPERA (0.57),19.94,OPERA (0.5),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.86,ACD/Labs GALAS
"Benzoic acid, 4-(hydroxyamino)-",13252-71-6,153.137,U.S. EPA CompTox Dashboard,1.93E-07,U.S. EPA CompTox Dashboard,0.6,OPERA (0.59),2.62,OPERA (0.52),13.06,ACD/Labs GALAS,15.47,ACD/Labs GALAS,0.9,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
N-Hydroxy-4-aminobiphenyl,6810-26-0,185.226,U.S. EPA CompTox Dashboard,3.54E-07,U.S. EPA CompTox Dashboard,0.11,OPERA (0.73),30.1,OPERA (0.69),7.68,ACD/Labs GALAS,14.96,ACD/Labs GALAS,2.38,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.87,ACD/Labs GALAS
"2-Naphthalenamine, N-hydroxy-",613-47-8,159.188,U.S. EPA CompTox Dashboard,2.41E-07,U.S. EPA CompTox Dashboard,0.23,OPERA (0.56),29.21,OPERA (0.67),9,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.02,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.86,ACD/Labs GALAS
N-Phenylhydroxylamine,100-65-2,109.128,U.S. EPA CompTox Dashboard,7.31E-08,Wambaugh 2014,0.5,OPERA (0.73),21,OPERA (0.57),2.17,Sipes 2017,10.17,Sipes 2017,0.49,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.86,ACD/Labs GALAS
"Benzoic acid, 2-(hydroxyamino)-",579-73-7,153.137,U.S. EPA CompTox Dashboard,1.55E-07,U.S. EPA CompTox Dashboard,0.49,OPERA (0.58),0,OPERA (0.5),14.97,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.59,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"Glycine, N-hydroxy-",3545-78-6,91.066,U.S. EPA CompTox Dashboard,2.74E-07,U.S. EPA CompTox Dashboard,0.87,OPERA (0.59),0,OPERA (0.58),11.09,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.84,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0.02,ACD/Labs GALAS
N-benzylhydroxylamine,622-30-0,123.155,U.S. EPA CompTox Dashboard,1.59E-06,U.S. EPA CompTox Dashboard,0.5,OPERA (0.72),32.09,OPERA (0.56),8.92,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.99,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
1-Hydroxylamino-2-phenylethane,3217-93-4,137.182,U.S. EPA CompTox Dashboard,6.75E-07,U.S. EPA CompTox Dashboard,0.37,OPERA (0.7),20.09,OPERA (0.76),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.33,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.99,ACD/Labs GALAS
"Benzenesulfonamide, N-hydroxy-",599-71-3,173.19,U.S. EPA CompTox Dashboard,2.53E-07,U.S. EPA CompTox Dashboard,0.39,OPERA (0.54),0,OPERA (0.64),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.48,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0.92,ACD/Labs GALAS
Carbamide peroxide,124-43-6,94.07,U.S. EPA CompTox Dashboard,1.15E-08,Wambaugh 2014,0.93,OPERA (0.62),0.6,OPERA (0.49),None,Sipes 2017, 13.87; 13.71,Sipes 2017,-2.11,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
4-Nitroperoxybenzoic acid,943-39-5,183.119,U.S. EPA CompTox Dashboard,1.77E-07,U.S. EPA CompTox Dashboard,0.51,OPERA (0.54),118.06,OPERA (0.49),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.49,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0.4,ACD/Labs GALAS
"Benzenecarboperoxoic acid, 3-chloro-",937-14-4,172.56,U.S. EPA CompTox Dashboard,4.07E-07,U.S. EPA CompTox Dashboard,0.3,OPERA (0.42),0,OPERA (0.48),11,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.32,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.53,ACD/Labs GALAS
2-Chlorobenzene-1-carboperoxoic acid,5106-05-08,172.56,U.S. EPA CompTox Dashboard,3.2E-07,U.S. EPA CompTox Dashboard,0.31,OPERA (0.42),0,OPERA (0.47),3.3,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.7,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.52,ACD/Labs GALAS
Diphenyl phosphate,838-85-7,250.19,U.S. EPA CompTox Dashboard,1.91E-07,Wambaugh 2014,0.08,OPERA (0.69),0,OPERA (0.55),None,Sipes 2017,3.85,Sipes 2017,1.34,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Dibenzyl phosphate,1623-08-1,278.244,U.S. EPA CompTox Dashboard,2.07E-07,Wambaugh 2014,0.14,OPERA (0.62),48.26,OPERA (0.51),None,Sipes 2017,4.31,Sipes 2017,2.57,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Phosphorocyanidate,25758-21-8,107.005,U.S. EPA CompTox Dashboard,1.52E-07,U.S. EPA CompTox Dashboard,0.77,OPERA (0.38),0,OPERA (0.62),0.1,ACD/Labs GALAS,14.3,ACD/Labs GALAS,-1.74,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Suberoylbisphosphonic acid,139339-85-8,302.156,U.S. EPA CompTox Dashboard,1.37E-07,U.S. EPA CompTox Dashboard,0.71,OPERA (0.37),6.98,OPERA (0.48),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-3.52,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Clodronic acid,10596-23-3,244.88,U.S. EPA CompTox Dashboard,2.19E-07,U.S. EPA CompTox Dashboard,0.64,Lombardo 2018,6.47,OPERA (0.45),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-2.38,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Incadronic acid,124351-85-5,287.189,U.S. EPA CompTox Dashboard,1.83E-07,U.S. EPA CompTox Dashboard,0.9,Lombardo 2018,9.2,OPERA (0.44),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-2.09,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Tiludronic acid,89987-06-4,318.6,U.S. EPA CompTox Dashboard,1.63E-07,U.S. EPA CompTox Dashboard,0.1,Lombardo 2018,78.5,OPERA (0.39),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-1.44,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Phenylphosphonic acid,1571-33-1,158.093,U.S. EPA CompTox Dashboard,1.2E-07,Wambaugh 2014,0.66,OPERA (0.48),0,OPERA (0.6),None,Sipes 2017,  7.24;  1.98,Sipes 2017,0.25,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
